"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_threshold","dropout","epochs","learning_rate","max_len","max_length","test_train_split","weight_decay","accuracy","balanced_accuracy","best_epoch","best_val_loss","epoch","f1_macro","f1_micro","loss","val_balanced_accuracy","val_loss"
"upbeat-sweep-515","2c71d9vq","finished","-","priceluke","","2022-04-20T04:55:30.000Z","9376","ne3vuqk1","64","0.016896921959027717","0.3","14","0.0001","100","33","0.9","","0.7568254209009556","0.9638225436210632","1","0.7529599070549011","13","0.7543760074574665","0.7568254209009556","0.15854403376579285","0.7568254470825195","1.2882139682769775"
"floral-sweep-261","9s5go7wt","finished","-","priceluke","","2022-04-19T23:18:51.000Z","9359","ne3vuqk1","64","0.013653495594326496","0.2","10","0.0001","30","33","0.65","","0.7291826406992793","0.8757238984107971","1","0.7537159323692322","9","0.7265319295713033","0.7291826406992792","0.34745579957962036","0.7291826605796814","1.0737899541854858"
"eager-sweep-105","i5drdl48","finished","-","priceluke","","2022-04-19T20:22:55.000Z","9355","ne3vuqk1","16","0.009114765219309946","0","12","0.0003","10","33","0.7","","0.729771263077014","0.8949110507965088","0","0.8603622317314148","11","0.7280662380411449","0.7297712630770141","0.30065158009529114","0.7297712564468384","1.26635479927063"
"sandy-sweep-350","fb6r512s","finished","-","priceluke","","2022-04-20T01:10:55.000Z","9336","ne3vuqk1","16","0.01774894717861678","0.3","11","0.00005","60","33","0.9","","0.7346717654557042","0.9285714030265808","1","0.7922101616859436","10","0.7335198410544269","0.7346717654557042","0.25215139985084534","0.7346717715263367","1.1447221040725708"
"silvery-sweep-98","302722kb","finished","-","priceluke","","2022-04-19T20:22:53.000Z","9327","ne3vuqk1","64","0.002966736655212535","0.6","12","0.0001","40","33","0.7","","0.5733562315996075","0.7480915784835815","4","1.586145520210266","11","0.569399327605839","0.5733562315996075","0.9497366547584534","0.5733562111854553","1.7597520351409912"
"sparkling-sweep-493","vacpkmnk","finished","-","priceluke","","2022-04-20T04:24:11.000Z","9321","ne3vuqk1","128","0.015113023417277396","0.5","16","0.0001","100","33","0.95","","0.7054770565193061","0.8902925252914429","2","0.8806775212287903","15","0.7034418144396233","0.7054770565193061","0.3302145302295685","0.7054770588874817","1.4324251413345337"
"glorious-sweep-655","p10uux0h","finished","-","priceluke","","2022-04-20T10:22:13.000Z","9306","ne3vuqk1","32","0.02118833142777402","0.3","13","0.0001","80","33","0.9","","0.7310070108349267","0.9632816910743712","1","0.7676525115966797","12","0.7302261426568467","0.7310070108349267","0.13938817381858826","0.7310070395469666","1.378675103187561"
"true-sweep-562","miv8yhst","finished","-","priceluke","","2022-04-20T05:58:40.000Z","9279","ne3vuqk1","128","0.02145817387694474","0.2","11","0.0003","70","33","0.8","","0.7321191696841501","0.9551125764846802","1","0.7477257251739502","10","0.7286268469802956","0.7321191696841501","0.14955513179302216","0.7321191430091858","1.478140950202942"
"skilled-sweep-736","nzbut170","finished","-","priceluke","","2022-04-20T12:22:55.000Z","9231","ne3vuqk1","64","0.01956113679380319","0.1","13","0.00005","200","33","0.9","","0.7283620140216699","0.9589787721633912","2","0.7776356935501099","12","0.7262902744928431","0.7283620140216699","0.15484197437763214","0.7283620238304138","1.1786537170410156"
"comfy-sweep-508","jjgiduzj","finished","-","priceluke","","2022-04-20T04:47:38.000Z","9221","ne3vuqk1","64","0.011984556784308651","0.5","17","0.00005","90","33","0.95","","0.6992325633887593","0.8856325745582581","7","0.9718960523605348","16","0.6986376281495515","0.6992325633887593","0.428457111120224","0.6992325782775879","1.292523741722107"
"hearty-sweep-248","mpxi5l45","finished","-","priceluke","","2022-04-19T22:59:56.000Z","9219","ne3vuqk1","128","0.016414327249460955","0.3","9","0.00003","60","33","0.85","","0.7675753804151443","0.8486917018890381","5","0.7225377559661865","8","0.7652866049168051","0.7675753804151443","0.5136586427688599","0.7675753831863403","0.742300271987915"
"valiant-sweep-598","z87699ay","finished","-","priceluke","","2022-04-20T06:32:40.000Z","9217","ne3vuqk1","128","0.004414583806146606","0.6","16","0.00003","20","33","0.65","","0.6646273637374861","0.6501401662826538","14","1.2460781335830688","15","0.6642064747677031","0.6646273637374861","1.261258602142334","0.6646273732185364","1.2543851137161257"
"logical-sweep-453","6qswt03h","finished","-","priceluke","","2022-04-20T03:28:30.000Z","9184","ne3vuqk1","64","0.010780799192943296","0.3","10","0.0003","150","33","0.9","","0.700988762260255","0.8867048025131226","1","0.9253864884376526","9","0.6991361716284923","0.700988762260255","0.34115979075431824","0.70098876953125","1.4352474212646484"
"floral-sweep-15","f631koc5","finished","-","priceluke","","2022-04-19T20:22:40.000Z","9174","ne3vuqk1","64","0.02027789268578028","0.4","13","0.00003","70","33","0.95","","0.7239682395918244","0.9047619104385376","5","0.811570942401886","12","0.7233214672834776","0.7239682395918243","0.3241264224052429","0.7239682674407959","1.009437918663025"
